struct_name,address,field_name,type,size,comment,dependency,Status
network_type_switches_t,,jcnes3sw_type_3,byte,1,Network type switch 3 (0=J1922 1=J1939),,guess
network_type_switches_t,,jcnes4sw_type_4,byte,1,Network type switch 4 (0=J1922 1=J1939),,guess
network_type_switches_t,,jcnes5sw_type_5,byte,1,Network type switch 5 (0=J1922 1=J1939),,guess
parameter_request_t,,eeprom_block,word,2,Target EEPROM memory block,,guess
parameter_request_t,,lookup_function,byte,1,Function ID (1=lookup1 2=lookup2 3=lookup3),,guess
parameter_request_t,,param_offset,word,2,Parameter offset within block,,guess
parameter_request_t,,validation_result,byte,1,Parameter validation status,,guess
cummins_data_plate_header_t,0x0100003A,data_plt_module_id,word,2,Module identifier (EN=0x454E for CM550/VP44 ECUs),,needs_review
module_variant_offsets_t,,cm550_data_plate_offset,word,2,CM550 data plate offset (0x2C0),,guess
module_variant_offsets_t,,vp44_data_plate_offset,word,2,VP44 data plate offset (0x2C0-0x22=0x29E),,guess
module_variant_offsets_t,,incal_variant_code,byte,1,InCal calibration variant (A/B/C),,guess
cummins_data_plate_t,0x010002C0,data_plate_length,word,2,Data plate length field,,guess
cummins_data_plate_t,0x010002C0,engine_make,byte,5,Engine manufacturer identifier,,guess
cummins_data_plate_t,0x010002C0,engine_model,byte,17,Engine model designation,,guess
cummins_data_plate_t,0x010002C0,engine_serial_number,dword,4,Engine serial number,,guess
cummins_data_plate_t,0x010002C0,engine_build_month,byte,1,Engine manufacturing month,,guess
cummins_data_plate_t,0x010002C0,engine_build_day,byte,1,Engine manufacturing day,,guess
cummins_data_plate_t,0x010002C0,engine_build_year,byte,1,Engine manufacturing year,,guess
cummins_data_plate_t,0x010002C0,engine_cpl,word,2,Engine CPL (Component Parts List),,guess
cummins_data_plate_t,0x010002C0,peak_torque_low_range,word,2,Peak torque low range value,,guess
cummins_data_plate_t,0x010002C0,peak_torque_high_range,word,2,Peak torque high range value,,guess
cummins_data_plate_t,0x010002C0,peak_torque_rpm_low,word,2,Peak torque RPM low range,,guess
cummins_data_plate_t,0x010002C0,peak_torque_rpm_high,word,2,Peak torque RPM high range,,guess
cummins_data_plate_t,0x010002C0,governed_speed_low,word,2,Governed speed low range,,guess
cummins_data_plate_t,0x010002C0,governed_speed_high,word,2,Governed speed high range,,guess
cummins_data_plate_t,0x010002C0,horsepower_low_range,word,2,Horsepower low range value,,guess
cummins_data_plate_t,0x010002C0,horsepower_high_range,word,2,Horsepower high range value,,guess
cummins_data_plate_t,0x010002C0,horsepower_rpm_low,word,2,Horsepower RPM low range,,guess
cummins_data_plate_t,0x010002C0,horsepower_rpm_high,word,2,Horsepower RPM high range,,guess
cummins_data_plate_t,0x010002C0,fuel_code_part_number,byte,7,Fuel code part number,,guess
cummins_data_plate_t,0x010002C0,percent_torque_rise,byte,1,Percent torque rise specification,,guess
cummins_data_plate_t,0x010002C0,peak_torque,word,2,Peak torque specification,,guess
cummins_data_plate_t,0x010002C0,peak_torque_rpm,word,2,Peak torque RPM specification,,guess
cummins_data_plate_t,0x010002C0,governed_speed,word,2,Governed speed specification,,guess
cummins_data_plate_t,0x010002C0,ecm_id,word,2,ECM identification number,,guess
cummins_data_plate_t,0x010002C0,ecm_part_number,dword,4,ECM part number,,guess
cummins_data_plate_t,0x010002C0,ecm_serial_number,dword,4,ECM serial number,,guess
cummins_data_plate_t,0x010002C0,ecm_voltage_low_range,byte,1,ECM voltage low range,,guess
cummins_data_plate_t,0x010002C0,ecm_voltage_high_range,byte,1,ECM voltage high range,,guess
cummins_data_plate_t,0x010002C0,ecm_code,byte,10,ECM identification code,,guess
cummins_data_plate_t,0x010002C0,engine_calibration_time,byte,12,Engine calibration timestamp,,guess
cummins_data_plate_t,0x010002C0,sc_option_number,word,2,SC option number,,guess
cummins_data_plate_t,0x010002C0,do_option_number,word,2,DO option number,,guess
cummins_data_plate_t,0x010002C0,other_options,byte,40,Other options field,,guess
cummins_data_plate_t,0x010002C0,oem_name,byte,15,Original equipment manufacturer name,,guess
cummins_data_plate_t,0x010002C0,oem_vehicle,byte,15,OEM vehicle designation,,guess
cummins_data_plate_t,0x010002C0,vin,byte,20,Vehicle identification number,,guess
cummins_data_plate_t,0x010002C0,vehicle_year,byte,10,Vehicle manufacturing year,,guess
cummins_data_plate_t,0x010002C0,customer_name,byte,15,Customer name,,guess
cummins_data_plate_t,0x010002C0,location,byte,15,Installation location,,guess
cummins_data_plate_t,0x010002C0,unit_number,byte,10,Unit identification number,,guess
cummins_data_plate_t,0x010002C0,sc_file_b_part_1,byte,10,SC file B part number 1,,guess
cummins_data_plate_t,0x010002C0,sc_file_b_part_2,byte,10,SC file B part number 2,,guess
cummins_data_plate_t,0x010002C0,sc_file_b_part_3,byte,10,SC file B part number 3,,guess
cummins_data_plate_t,0x010002C0,sc_file_b_part_4,byte,10,SC file B part number 4,,guess
cummins_data_plate_t,0x010002C0,sc_file_b_part_5,byte,10,SC file B part number 5,,guess
cummins_data_plate_t,0x010002C0,sc_file_b_part_6,byte,10,SC file B part number 6,,guess
cummins_data_plate_t,0x010002C0,do_file_b_part_1,byte,10,DO file B part number 1,,guess
cummins_data_plate_t,0x010002C0,do_file_b_part_2,byte,10,DO file B part number 2,,guess
cummins_data_plate_t,0x010002C0,pad,byte,1,Unused padding byte,,guess
circular_buffer_t,0x80c3fc,write_index,word,2,Current write position (0-511),,needs_review
circular_buffer_t,0x80c3fc,entry_count,word,2,Number of entries in buffer,,needs_review
circular_buffer_t,0x80c3fc,data_buffer_0,word,2,Sensor data offset 0,,needs_review
circular_buffer_t,0x80c3fc,data_buffer_2,word,2,Sensor data offset 2,,needs_review
circular_buffer_t,0x80c3fc,data_buffer_4,word,2,Sensor data offset 4,,needs_review
circular_buffer_t,0x80c3fc,current_engine_rpm,word,2,Current engine RPM sample (offset 6),,verified
circular_buffer_t,0x80c3fc,data_buffer_8,word,2,Sensor data offset 8 (throttle or RPM comparison),,needs_review
circular_buffer_t,0x80c3fc,data_buffer_rest,byte,500,Remaining circular buffer data,,needs_review
circular_buffer_t,0x80c3fc,metadata_buffer,word,512,Metadata/timestamp array,,needs_review
can_message_log_buffer_t,0x8034f8,j1939_msg_buffers,byte,906,Complete CAN message buffer array for diagnostic logging,,needs_review
memory_patch_entry_t,,target_address,dword,4,Memory address to patch (supports high memory mapping),,guess
memory_patch_entry_t,,patch_size,byte,1,Number of bytes to copy to target address,,guess
memory_patch_entry_t,,reserved,byte,1,Unused padding byte for 6-byte alignment,,guess
system_protected_area_t,0x8062cb,protected_flags,byte,4,Critical system state area (write-protected during patches),,needs_review
memory_operation_request_t,,source_data_ptr,dword,4,Pointer to source data for memory operation,,guess
memory_operation_request_t,,target_data_ptr,dword,4,Pointer to destination memory location,,guess
memory_operation_request_t,,operation_size,word,2,Number of bytes to copy (max 1764 bytes),,guess
memory_operation_request_t,,metadata_value,word,2,Logging metadata/timestamp for circular buffer,,guess
dma_descriptor_t,,source_address,dword,4,DMA transfer source memory address,,guess
dma_descriptor_t,,dest_address,dword,4,DMA transfer destination memory address,,guess
dma_descriptor_t,,transfer_count,word,2,Number of bytes/words to transfer,,guess
dma_descriptor_t,,control_flags,word,2,DMA control flags (mode type enable etc),,guess
dma_descriptor_t,,next_descriptor,dword,4,Pointer to next descriptor in chain,,guess
dma_control_block_t,0x800026,descriptor_ptr1,dword,4,Pointer to first DMA descriptor chain,,needs_review
dma_control_block_t,0x80002a,control_flags1,dword,4,Control/enable flags for DMA channel 1,,needs_review
dma_control_block_t,0x80002e,descriptor_ptr2,dword,4,Pointer to second DMA descriptor chain,,needs_review
dma_control_block_t,0x800032,control_flags2,dword,4,Control/enable flags for DMA channel 2,,needs_review
j1939_diagnostic_buffer_t,0x803056,can_id,dword,4,J1939 CAN identifier with PGN priority and source address,,needs_review
j1939_diagnostic_buffer_t,0x803056,message_length,word,2,Message data length (typically 3 bytes for diagnostic),,needs_review
j1939_diagnostic_buffer_t,0x803056,data_ptr,dword,4,Pointer to diagnostic status data buffer,,needs_review
j1939_diagnostic_buffer_t,0x803056,unused_ptr,dword,4,Pointer to unused buffer space,,needs_review
can_priority_lookup_table_t,0x8037b6,dm983_priority,byte,1,Priority for Cummins DM-983 diagnostic message,,needs_review
can_priority_lookup_table_t,0x8037b6,fedf_priority,byte,1,Priority for PGN FEDF00 secondary parameter message,,needs_review
can_priority_lookup_table_t,0x8037b6,fee3_priority,byte,1,Priority for PGN FEE300 extended diagnostic message,,needs_review
can_priority_lookup_table_t,0x8037b6,fef1_priority,byte,1,Priority for PGN FEF100 message,,needs_review
can_priority_lookup_table_t,0x8037b6,feeb_priority,byte,1,Priority for PGN FEEB00 message,,needs_review
can_priority_lookup_table_t,0x8037b6,feca_priority,byte,1,Priority for PGN FECA00 (DM1) message,,needs_review
scheduler_phase_slot_t,0x809782,last_execution_time,dword,4,Timer value of last task execution,,needs_review
scheduler_phase_slot_t,0x809782,runtime_ticks,word,2,Task runtime duration in timer ticks,,needs_review
scheduler_phase_slot_t,0x809782,deadline_ticks,word,2,Task execution deadline (0xFFFF = disabled),,needs_review
scheduler_phase_slot_t,0x809782,execution_count,word,2,Number of times task has been executed,,needs_review
scheduler_phase_slot_t,0x809782,overrun_count,word,2,Number of deadline overruns detected,,needs_review
scheduler_phase_slot_t,0x809782,reserved,dword,4,Reserved/padding bytes for alignment,,needs_review
scheduler_phase_table_t,0x809782,phase_slots,scheduler_phase_slot_t,640,Array of 40 scheduler phase slots (16 bytes each),scheduler_phase_slot_t,needs_review
vp44_message_t,0x800F5F,sequence_number,byte,1,VP44 message sequence number for retry logic,,needs_review
vp44_message_t,0x800F60,message_id,word,2,VP44 message identifier,,needs_review
vp44_message_t,0x800F62,retry_flag,byte,1,VP44 retry flag (1 when response pending),,needs_review
vp44_message_t,0x800F63,retry_count,byte,1,VP44 actual retry count (max 5),,needs_review
vp44_message_t,0x800F64,timeout_counter,byte,1,VP44 timeout countdown (112 ticks),,needs_review
vp44_message_t,0x800F66,message_data,dword,4,VP44 stored command/data,,needs_review
vp44_message_t,0x800F69,expected_sequence,byte,1,Expected sequence for validation,,needs_review
vp44_message_t,0x800F6A,additional_data,word,2,Additional message data,,needs_review
can_std_rx_desc_t,,id,uint32_t,4,11-bit CAN ID stored in 32-bit (ABI),,Verified
can_std_rx_desc_t,,length,uint16_t,2,DLC,,Verified
can_std_rx_desc_t,,data_ptr,ptr:uint8_t,4,Pointer to payload bytes,,Verified
# at 0x800F34,Status
diag_tp_state_t,0x800F34,diag_state,byte,1,State flag: 0=idle 1=active,,Verified
diag_tp_state_t,0x800F34,expected_id_low,byte,1,Expected low byte of std CAN ID,,Verified
diag_tp_state_t,0x800F34,expected_guard,word,2,Guard word; must match (payload[6]<<8),,Verified
diag_tp_state_t,0x800F34,total_packets,byte,1,((total_bytes-1)/7)+1,,Verified
diag_tp_state_t,0x800F34,req_start,byte,1,Current sequence index (1-based),,Verified
diag_tp_state_t,0x800F34,req_count,byte,1,Remaining packets to send,,Verified
diag_tp_state_t,0x800F34,pre_status,byte,1,Abort/status flag (non-zero aborts with 7),,Verified
diag_tp_state_t,0x800F34,total_bytes,word,2,Total payload length,,Verified
diag_tp_state_t,0x800F34,src_data_ptr,ptr:uint8_t,4,Pointer to source payload,,Verified
diag_tp_state_t,0x800F34,resp_byte_ptr,ptr:uint8_t,4,Pointer to 1-byte response/status,,Verified
diag_tp_state_t,0x800F34,status_code,byte,1,Countdown/NACK (0x37 init or 0x70 delay),,Verified
diag_tp_state_t,0x800F34,reserved_0x47,byte,1,Padding,,Verified
diag_tp_state_t,0x800F34,tx_header_id,uint32_t,4,Composed CAN ID for TP.CM/TP.DT,,Verified
diag_tp_state_t,0x800F34,tx_length,uint16_t,2,DLC for frame (8 or tail),,Verified
diag_tp_state_t,0x800F34,tx_cm_buf,ptr:uint8_t,4,Scratch 8-byte CM/DT buffer,,Verified
# Code path analysis in FUN_0001e462 - fuel/governor control cluster (awaiting verification)
fuel_governor_state_t,0x80D05C,out_cmd,short,2,Final clamped output (governor/fueling command),,in_qa
fuel_governor_state_t,0x80D05E,cmd_raw,short,2,Current raw command (signed),,in_qa
fuel_governor_state_t,0x80D060,term_ff,short,2,Feed-forward/scaling term (signed),,in_qa
fuel_governor_state_t,0x80D062,term_rate,short,2,Rate/derivative term (signed saturating),,in_qa
fuel_governor_state_t,0x80D064,accum_lo,ushort,2,Q16.16 accumulator low 16 bits (fractional part),,in_qa
fuel_governor_state_t,0x80D066,accum_hi,ushort,2,Q16.16 accumulator high 16 bits (integer part / temp limit),,in_qa
fuel_governor_state_t,0x80D068,limit_hi,short,2,Accumulator integer ceiling (upper clamp),,in_qa
fuel_governor_state_t,0x80D06A,limit_cap,short,2,Accumulator/output cap,,in_qa
fuel_governor_state_t,0x80D06C,rpm_window,short,2,RPM window/threshold term used for gating,,in_qa



# A/D sensor configuration block - ambient air pressure sensor
ad_sensor_config_t,0x00806C00,channel_addr,word,2,A/D channel address for sensor input,CalTerm ADAAPRCA,CalTerm
ad_sensor_config_t,0x00806C02,filter_const,word,2,Digital filter constant (0-1),CalTerm ADAAPRCS,CalTerm
ad_sensor_config_t,0x00806C06,fault_clear_count,word,2,Fault clear counter threshold,CalTerm ADAAPRCC,CalTerm
ad_sensor_config_t,0x00806C08,fault_decrement,word,2,Fault counter decrement value,CalTerm ADAAPRDT,CalTerm
ad_sensor_config_t,0x00806C0A,fault_increment,word,2,Fault counter increment value,CalTerm ADAAPRIC,CalTerm
ad_sensor_config_t,0x00806C0C,fault_set_threshold,word,2,Fault set threshold,CalTerm ADAAPRSE,CalTerm
ad_sensor_config_t,0x00806C0E,high_error_limit,word,2,A/D high error limit (0-1023),CalTerm ADAAPRHL,CalTerm
ad_sensor_config_t,0x00806C10,low_error_limit,word,2,A/D low error limit (0-1023),CalTerm ADAAPRLL,CalTerm
# Timing advance lookup table structure (4DTA family)
timing_table_4dta_t,0x00060D1E,rpm_axis,word,19,Engine speed axis for timing table (0-3000 RPM),CalTerm 4DTA00XA,CalTerm
timing_table_4dta_t,0x00060D1E,fuel_axis,word,16,Fueling axis for timing table (0-100 MM3S),CalTerm 4DTA00YA,CalTerm
timing_table_4dta_t,0x00060D1E,timing_values,word,304,Timing advance lookup values (19x16 table),CalTerm 4DTA00ZA,CalTerm
# 4D fueling lookup table structure (5DFL family)
fueling_table_5dfl_t,0x00060982,rpm_axis,word,21,Engine speed axis for 4D fueling (0-3000 RPM),CalTerm 5DFL00XA,CalTerm
fueling_table_5dfl_t,0x00060982,throttle_axis,word,4,Throttle position axis (0-100%),CalTerm 5DFL00YA,CalTerm
fueling_table_5dfl_t,0x00060982,fuel_values,word,84,Fueling lookup values (21x4 table),CalTerm 5DFL00ZA,CalTerm
# Diagnostic Protocol Structures (CalTerm/Insite Communication)
diag_service_request_t,0x80d2c0,message_length,byte,1,Total message length including header,,Verified
diag_service_request_t,0x80d2c0,service_id,byte,1,Service identifier (3=secured 4=control 5=memory),,Verified
diag_service_request_t,0x80d2c0,sub_function,byte,1,Sub-function code for service routing,,Verified
diag_service_request_t,0x80d2c0,data_payload,byte,16,Variable-length request data payload,,Verified
# Multi-packet transfer state structure
diag_transfer_state_t,0x80d3f8,target_address,word,2,Target memory address for transfer,,Verified
diag_transfer_state_t,0x80d3fa,data_pointer,dword,4,Pointer to source/dest data buffer,,Verified
diag_transfer_state_t,0x80d400,remaining_length,word,2,Remaining bytes to transfer,,Verified
diag_transfer_state_t,0x80d402,byte_count,word,2,Total byte count for operation,,Verified
diag_transfer_state_t,0x80d404,tx_active_flag,byte,1,Transmit operation active (0/1),,Verified
diag_transfer_state_t,0x80d405,rx_active_flag,byte,1,Receive operation active (0/1),,Verified
# Insite live data session state
insite_session_t,0x80d407,command_byte,byte,1,Current Insite command code,,Verified
insite_session_t,0x80d409,session_active,byte,1,Session active flag (1=active),,Verified
insite_session_t,0x80d40c,response_ptr,dword,4,Response buffer pointer,,Verified
insite_session_t,0x80d410,tx_buffer_ptr,dword,4,Transmit buffer pointer,,Verified
insite_session_t,0x80d414,rx_buffer_ptr,dword,4,Receive buffer pointer,,Verified
insite_session_t,0x80d417,buffer_offset,byte,1,Current buffer offset,,Verified
insite_session_t,0x80d418,param_count,byte,1,Number of parameters in response,,Verified
insite_session_t,0x80d419,buffer_space,byte,1,Available buffer space,,Verified
insite_session_t,0x80d41a,param_result,byte,1,Last parameter lookup result,,Verified
# Fuel arbitrator control state (Service 0x4A)
fuel_arbitrator_diag_t,0x80cff8,control_flags,word,2,Control mode flags from request,,Verified
fuel_arbitrator_diag_t,0x80cffa,fuel_mode,word,2,Current fuel control mode (0-3),,Verified
fuel_arbitrator_diag_t,0x80d00a,rpm_target,word,2,Target RPM for mode 1,,Verified
fuel_arbitrator_diag_t,0x80d00c,throttle_mode,word,2,Throttle control mode flag,,Verified
fuel_arbitrator_diag_t,0x80d00e,speed_limit,word,2,Speed limit for mode 3,,Verified
fuel_arbitrator_diag_t,0x80d010,fuel_limit,word,2,Fuel limit for mode 2,,Verified
fuel_arbitrator_diag_t,0x80d012,session_counter,word,2,Diagnostic session counter,,Verified
fuel_arbitrator_diag_t,0x80d014,command_counter,word,2,Command received counter,,Verified
fuel_arbitrator_diag_t,0x80d018,last_command,byte,1,Last command ID (0x4A etc),,Verified
fuel_arbitrator_diag_t,0x80d01a,state_pointer,dword,4,Current state table pointer,,Verified
fuel_arbitrator_diag_t,0x80d01e,prev_state_pointer,dword,4,Previous state table pointer,,Verified
fuel_arbitrator_diag_t,0x80d028,countdown_timer,word,2,Mode operation countdown,,Verified
fuel_arbitrator_diag_t,0x80d02e,secondary_timer,word,2,Secondary countdown timer,,Verified
fuel_arbitrator_diag_t,0x80d032,target_value,word,2,Calculated target value,,Verified
fuel_arbitrator_diag_t,0x80d036,limited_value,word,2,Limited/clamped target value,,Verified
# Fault Persistence Counters - 8 consecutive byte counters for fault debouncing
fault_persistence_counters_t,0x008000C8,periodic_monitor_phase,byte,1,5-phase counter for periodic fault monitoring,,needs_review
fault_persistence_counters_t,0x008000C8,can_pin_fault,byte,1,CAN pin switching fault persistence counter,,needs_review
fault_persistence_counters_t,0x008000C8,io_fault_1,byte,1,I/O control fault 1 persistence counter,,needs_review
fault_persistence_counters_t,0x008000C8,io_fault_2,byte,1,I/O control fault 2 persistence counter,,needs_review
fault_persistence_counters_t,0x008000C8,io_fault_3,byte,1,I/O control fault 3 persistence counter,,needs_review
fault_persistence_counters_t,0x008000C8,io_fault_4,byte,1,I/O control fault 4 persistence counter,,needs_review
fault_persistence_counters_t,0x008000C8,io_fault_5,byte,1,I/O control fault 5 persistence counter,,needs_review
fault_persistence_counters_t,0x008000C8,io_fault_6,byte,1,I/O control fault 6 persistence counter,,needs_review
# Fault Status Registers - Active fault flags (16 bytes)
fault_status_registers_t,0x00805DF2,sensor_fault_status,word,2,Sensor fault status register,,needs_review
fault_status_registers_t,0x00805DF2,fault_status_2,word,2,Fault status flags register 2,,needs_review
fault_status_registers_t,0x00805DF2,engine_fault_status,word,2,Engine fault status register,,needs_review
fault_status_registers_t,0x00805DF2,reserved_06,word,2,Reserved/gap,,needs_review
fault_status_registers_t,0x00805DF2,io_fault_status_1,word,2,IO fault status register 1,,needs_review
fault_status_registers_t,0x00805DF2,io_fault_status_2,word,2,IO fault status register 2,,needs_review
fault_status_registers_t,0x00805DF2,io_fault_status_3,word,2,IO fault status register 3,,needs_review
fault_status_registers_t,0x00805DF2,io_fault_status_4,word,2,IO fault status register 4,,needs_review
# Fault Latch Registers - Historical/latched faults (16 bytes)
fault_latch_registers_t,0x00805E32,sensor_fault_latch,word,2,Sensor fault latch register,,needs_review
fault_latch_registers_t,0x00805E32,fault_status_8_previous,word,2,Previous state for edge detection,,needs_review
fault_latch_registers_t,0x00805E32,engine_fault_latch,word,2,Engine fault latch register,,needs_review
fault_latch_registers_t,0x00805E32,reserved_06,word,2,Reserved/gap,,needs_review
fault_latch_registers_t,0x00805E32,io_fault_latch_1,word,2,IO fault latch register 1,,needs_review
fault_latch_registers_t,0x00805E32,io_fault_latch_2,word,2,IO fault latch register 2,,needs_review
fault_latch_registers_t,0x00805E32,io_fault_latch_3,word,2,IO fault latch register 3,,needs_review
fault_latch_registers_t,0x00805E32,io_fault_latch_4,word,2,IO fault latch register 4,,needs_review
# Engine Operating Mode State (4 bytes)
engine_operating_mode_t,0x0080C810,state,word,2,Engine operating mode state 1-8,,needs_review
engine_operating_mode_t,0x0080C810,shutdown_complete_flag,word,2,Engine shutdown complete flag,,needs_review
# High RPM Protection State (10 bytes)
high_rpm_protection_t,0x0080CC6A,fault_flag,word,2,High RPM protection fault active flag,,needs_review
high_rpm_protection_t,0x0080CC6A,state,word,2,State machine state,,needs_review
high_rpm_protection_t,0x0080CC6A,timer,word,2,Countdown timer,,needs_review
high_rpm_protection_t,0x0080CC6A,reserved_06,word,2,Reserved/gap,,needs_review
high_rpm_protection_t,0x0080CC6A,warning_flag,word,2,Warning active flag,,needs_review
# Boost Pressure Control State (6 bytes)
boost_pressure_control_t,0x00809746,state_machine,word,2,Boost pressure state machine,,needs_review
boost_pressure_control_t,0x00809746,active_flag,word,2,Calculation active flag,,needs_review
boost_pressure_control_t,0x00809746,interpolation_result,word,2,Interpolation result,,needs_review
# Fuel Limit Arbitration State (18 bytes) - 0x0080CC4A to 0x0080CC5A
fuel_limit_arbitration_t,0x0080CC4A,source_id,word,2,ID of current fuel limit source (arbitrator output),,needs_review
fuel_limit_arbitration_t,0x0080CC4A,demand_limited,word,2,Rate-limited fuel demand,,needs_review
fuel_limit_arbitration_t,0x0080CC4A,arbitration_threshold,word,2,Fuel limit arbitration threshold,,needs_review
fuel_limit_arbitration_t,0x0080CC4A,demand_delta,word,2,Fuel demand delta for rate limiting,,needs_review
